project,source,content,score,comments,"technical update, 
accidents, 
team and partnership update, 
changes in tokenomics, 
whale movement, 
regulation related to crypto industry
Roadmap Updates
Adoption Metrics
External Audits
Competitor Movements
Token Listings
Legal & Lawsuits"
solana,Discord,"@Mainnet Beta Validator
There is ongoing debugging of an issue that may be related to v1.16 (see the #debug-gpf-1_16 channel on discord).  The issue appears to be isolated to a small subset of validators who have adopted v1.16 so we would like to add an extra step to the incremental upgrade and see 17% of stake adopt v1.16 to see if the trend continues:

If you would like to volunteer and are able to monitor your node while <17% of stake has already upgraded to v1.16 and <5% of stake is delinquent, then please upgrade to: 
https://github.com/solana-labs/solana/releases/tag/v1.16.13 

Also, for operators who have adopted v1.16, or attempted to adopt and reverted to 1.14, please fill out this survey:
https://docs.google.com/forms/d/e/1FAIpQLSfKehzdxTj_fp3aJEDq0Tn2VpOyeKXYF8fKcI242-84aKy3pA/viewform?usp=sf_link
to help with debugging the ongoing GPF investigation.",0,daily routine,
solana,Discord,"@Mainnet Beta Validator  If you are running any of the nodes below, can you send me a DM for some debugging?",0,daily routine,
solana,Discord,"@Mainnet Beta Validator
There are new releases available for mainnet-beta.

Nodes running v1.14 should consider upgrading to v1.14.27: https://github.com/solana-labs/solana/releases/tag/v1.14.27
Nodes running v1.16 should consider upgrading to v1.16.13

Please upgrade when there's less than 5% delinquent stake. Be sure you have time to monitor your node after upgrading it and report any issues to #mb-validators on https://solana.com/discord",1,technical update,
solana,Discord,"Nodes running v1.16 should consider upgrading to v1.16.13

Please upgrade when there's less than 5% delinquent stake. Be sure you have time to monitor your node after upgrading it and report any issues to ⁠mb-validators on https://solana.com/discord

https://github.com/solana-labs/solana/releases/tag/v1.16.13",1,technical update,
solana,Discord,"The v1.14.27 release is now recommended for general use by MainnetBeta validators.

Nodes running v1.14 should consider upgrading to v1.14.27

Please upgrade when there's less than 5% delinquent stake. Be sure you have time to monitor your node after upgrading it and report any issues to ⁠mb-validators on https://solana.com/discord

https://github.com/solana-labs/solana/releases/tag/v1.14.27 
",1,technical update,
solana,Discord,"@Mainnet Beta Validator
Approximately 11% of mainnet-beta stake is currently running v1.16 with the rest running v1.14. There is ongoing debugging of an issue that may be related to v1.16 (see #debug-gpf-1_16 for more information). We would like to maintain the current split for now.

Nodes running v1.14 should consider upgrading to v1.14.26: https://github.com/solana-labs/solana/releases/tag/v1.14.26
Nodes running v1.16 should consider upgrading to v1.16.12

Please upgrade when there's less than 5% delinquent stake. Be sure you have time to monitor your node after upgrading it and report any issues to #mb-validators on https://solana.com/discord",1,technical update,
solana,Discord,"@Mainnet Beta Validator
""Thank you"" to the operators who have upgraded to v1.16! Currently ~7.2% of stake is running v1.16. We would like to see 10% of stake adopt v1.16.

If 
 • you would like to volunteer, 
 • and you are able to monitor your node, 
 • and <10% of stake has already upgraded to v1.16, 
 • and <5% of stake is delinquent 
then please upgrade to 
https://github.com/solana-labs/solana/releases/tag/v1.16.10

Report any problems in #mb-validators",1,technical update,
CoreDao,Twitter,"We are co-hosting the DeFi Mingle and Panels event along with @HalbornSecurity, @SushiSwap, @mpcvault, @HelloTelos and @snowball_money at the @MessariCrypto
 #Mainnet2023 tomorrow https://lu.ma/defi-messarimainnet",0,marketing,
CoreDao,Twitter,"It's time for another event - Core is at #Mainnet2023 in NYC.

If you're around, come say hi and let's meet👋
",0,marketing,
CoreDao,Twitter,"|￣￣￣￣￣￣|
|          GM          |
| #Coretoshis |
|＿＿＿＿＿＿|
(\__/) ||
(•ㅅ•) ||
/   づ",0,0,
CoreDao,Twitter,"From the Core bridge with @LayerZero_Labs to the @SushiSwap and #Firehose by @graphprotocol integrations, passing through #Token2049, some cool highlights this year so far👇
https://twitter.com/BSCNews/status/1704103195385922019",0,marketing,
CoreDao,Twitter,"Core was recently present at #Token2049 and @Permissionless- 2 great events🔥
It's time to pack for more, where to next?💭",0,marketing,
CoreDao,Twitter,"🎶 On the #RoadTo100,
Just can't wait to get on the road to 100,
The life I love is talking Core with my friends,
And I can't wait to get on the road to 100 🎶 
Guess the song 💭",0,marketing,
CoreDao,Twitter,"With #Bitcoin's decentralization and security, but EVM-compatible and a unique consensus mechanism that combines PoW and PoS, Satoshi Plus creates a perfect environment for any dApp to build on Core☀️",0,not related thing,
CoreDao,Twitter,At #Token2049 in Singapore 🔥,0,marketing,
CoreDao,Twitter,"At @Permissionless in Austin with the @LayerZero_Labs pedi cabs🔥
Thank you for the ride, friends!",0,marketing,
CoreDao,Twitter,Final day of @Permissionless ☀️,0,marketing,
CoreDao,Twitter,"Gm Gm Gm Gm Gm Gm Gm Gm Gm Gm Gm Gm Gm Gm Gm Gm Gm Gm Gm Gm Gm Gm Gm Gm Gm Gm Gm Gm Gm Gm Gm Gm Gm Gm Gm Gm Gm Gm Gm Gm Gm Gm Gm Gm Gm Gm Gm Gm Gm Gm Gm Gm Gm Gm Gm Gm Gm Gm Gm Gm Gm Gm Gm Gm Gm Gm Gm Gm Gm Gm Gm Gm Gm Gm Gm Gm Gm Gm Gm Gm Gm...2 million ""Gms"", only yours left👀",0,not related thing,
CoreDao,Twitter,"25% of the countries in the world have less population than Core has #Coretoshis. From all around the globe, Core's massive community is unstoppable.",0,not related thing,
CoreDao,Twitter,"If you're at #Token2049 you just can't miss the DeFi Summit👇
https://twitter.com/HalbornSecurity/status/1701171995327746176",0,marketing,
CoreDao,Twitter,"Excited to announce that Firehose is integrated on Core🧯 

Firehose is a new technology to extract blockchain data developed by @streamingfastio a core dev team working on @graphprotocol.

By leveraging Firehose, Core network devs can extract data efficiently using subgraphs, more quickly than ever before⚡️

https://medium.com/@core_dao/firehose-is-live-on-core-e7c0f8c79ce5",1,technical update,
CoreDao,Twitter,"1/ Core brand update 🚨 
The Core ecosystem continues to evolve and the Core brand needs to evolve with it. While there's a lot of love for the orange hexagon logo that got us here, it's time to transform the brand into something that better expresses who we are.
2/ We are asking our community to help, by voting for your favorite new logo option. By ensuring that the community’s input and voice are heard, CORE will continue to be a brand that serves the needs of its ecosystem.
Vote here for your favorite new logo
1 36.2%
2 63.8%",0,marketing,
CoreDao,Twitter,"Gm #Coretoshis 🔥

Happy Sunday! Thank you for your vote. “Coretoshis” is how the Core community members shall be called from now on. Ready for the next voting? 👀",0,not related thing,
CoreDao,Twitter,"Remember to DYOR before interacting with any project. Here’s how👇
https://twitter.com/CoreDAO_Academy/status/1667114102567870464",0,not related thing,
CoreDao,Twitter,"Are you at @token2049? 

If so, say hi to some Core contributors attending the event in Singapore👋
",0,marketing,
CoreDao,Twitter,"Welcome to Core, @GetBlockWallet👋
Another successful integration. With BlockWallet's ""Quick Network Finder"" feature, you can now easily connect to the Core blockchain.",1,partnership,
CoreDao,Twitter,"Gm #Coretoshis, or #CoreSquad?🧐
These two are still in a battle for the Core community name.",0,marketing,
CoreDao,Twitter,"1/ The Core brand is evolving... Core is only as strong as its community, so we want to hear from you.
Every input counts
2/ Here's the first one: How should the Core community be called?
Coretoshis 42.1%
Hardcores 14.9%
CoreSquad 25.4%
UniCore 17.6%",1,Peers,
CoreDao,Discord,"25% of the countries in the world have less population than Core has #Coretoshis. 
From all around the globe, Core's massive community is unstoppable. :core: 
@everyone",0,not related thing,
CoreDao,Discord,"Question
Which new logo do you prefer for Core?

Choices
🇦 1
🇧 2

Final Result
🇦 ▓▓░░░░░░░░ [101 • 20%]
🇧 ▓▓▓▓▓▓▓▓░░ [397 • 80%]
496 users voted

Settings
:alarm_clock: Poll already ended (6 days ago)
:one: allowed choice

:lock: No other votes allowed
Allowed roles: @Verified
Poll ID: de6232e6",0,not related thing,
CoreDao,Discord,"Core brand update 🚨
The Core ecosystem continues to evolve and the Core brand needs to evolve with it.

While there's a lot of love for the orange hexagon logo that got us here, it's time to transform the brand into something that better expresses who we are.

We invite our amazing community to participate in this transformation by voting for your preferred new logo. Your input is vital in ensuring that Core remains a brand that truly serves our ecosystem's needs. 

Cast your vote for your favorite new logo below @everyone! ",0,marketing,
CoreDao,Discord,"Question
How should the Core community be called?

Choices
🇦 Coretoshis
🇧 Hardcores
🇨 CoreSquad
🇩 UniCore

Final Result
🇦 ▓▓▓▓▓▓▓░░░ [283 • 70%]
🇧 ▓░░░░░░░░░ [28 • 7%]
🇨 ▓▓░░░░░░░░ [64 • 16%]
🇩 ▓░░░░░░░░░ [30 • 7%]
402 users voted

Settings
:alarm_clock: Poll already ended (10 days ago)
:one: allowed choice

:lock: No other votes allowed
Allowed roles: @Verified
Poll ID: c9547b61",0,not related thing,
CoreDao,Discord,"The Core brand is evolving... Core is only as strong as its community, so we want to hear from you.  Every input counts @everyone

Note: Even though a lot of community members mentioned ""Coreans"" this option is not included to avoid any confusions to the similar sounding ""Koreans"" as we aim not to offend nor confuse people coming into the community,

Here's the first one:",0,marketing,
CoreDao,Discord,"Hey @everyone 

Please note that we have our @CoreBuddy bot sending out welcome messages and other messages to you via DM for the sole purpose of onboarding and reminders. 

This bot will not send you links nor offer you something. 

Please ensure that when you receive a DM its the correct bot with @Bots role on this server to ensure its the legitimate one. If unsure you can ask and check on our different support channels. Report any impersonation or fraud attempts on ⁠🚨〡report-scam",0,marketing,
CoreDao,Discord,"Remember to DYOR

As the Core ecosystem continues to scale, it’s a top priority to support new protocols and applications, whether they’re moving from other blockchains or building from scratch. Given the permissionless nature of blockchain, anyone can build, so it’s always essential for the community to use their best judgment when evaluating projects — especially if assets are at stake :core: 

@everyone",1,roadmap,
CoreDao,Discord,"Feeling the heat? It's time for a Core AMA with @icecream_swap🎙️

@BrendonSedo will be speaking with the team about the latest updates, the state of DeFi and there'll still be time to answer to your questions.

Set your reminders @everyone👇
https://twitter.com/i/spaces/1zqKVPjpoBDJB",0,marketing,
CoreDao,Discord,"The Core community has spoken, and the winners are set🏆

Check out their work for the Core x SushiSwap meme competition👇

@fikpro - ⁠🗳〡meme-voting⁠
@ev⬡lary - ⁠🗳〡meme-voting⁠
@Felix_Fran6ix - ⁠🗳〡meme-voting⁠
@kimprong_1996 - ⁠🗳〡meme-voting⁠
@MAJIDKHAN - ⁠🗳〡meme-voting⁠

These 5 winners will share the total prize pool of 500 $CORE! 

For the winners, please DM me for claiming your reward. Once submitted, rewards will be sent within this week.

Thank you @everyone for participating, it was fun seeing all the submissions. You are great!☀️",0,marketing,
CoreDao,Discord,"Core x Sushi: MEME Competition Voting :core: :sushi~1:
There are quite a few meme lovers in the community.  The Core x SushiSwap meme competition got a lot of submissions, and voting is open until Saturday, August 12, 2023 7:00 PM.

⁠🗳〡meme-voting 

React to your favorite ones: 1 reaction = 1 vote🗳️

@everyone",0,marketing,
CoreDao,Discord,"@CC Great Interview on Core DAO

One of our initial contributors @rr33 was on the Charlie Shrem show and talked about Core DAO.

Check it out and leave a 👍 

https://youtu.be/9lnisSe0z5E",0,marketing,
CoreDao,Discord,"In celebration of Core partnership with Sushi, we are launching a community event where MEMEs are King!

Core x Sushi: MEME Competition :core: 🍣
Mechanics:
:diamond:  Starting today, create MEMEs and submit on ⁠🏆〡meme-competition channel until the end of the competition on Wednesday, August 9, 2023 7:00 AM
:diamond:  MEME entries must be related to Core and Sushi
:diamond: Community Voting of winners will be from Wednesday, August 9, 2023 7:00 AM to Saturday, August 12, 2023 7:00 PM
🏆  5 winners share 500 $CORE (100 $CORE each)

Get creative☀️

@everyone",1,partnership,
CoreDao,Discord,"Adding additional DeFi functionality for users and developers on the Core chain. 

Read all about it👇https://medium.com/@core_dao/sushiswap-is-live-on-core-ee6f67419e82

@everyone 
",1,new product and functions,
CoreDao,Discord,":core: CoreDAO Zealy Sprint Season 2 :core: 
That's right! We are now launching Zealy Sprint Season 2! :pepealarm_: :pepesaber: 

Zealy Link - https://zealy.io/c/coredao
Zealy Guide here - ⁠⁠Unknown

For the second sprint, before you can participate and partake on the new quests, you need to reach at least Zealy level 8. That means if you have not yet participated actively on the previous sprint, you must perform the previous quests first to attain this level.

We have initially launched 40 new quiz quests  for this new sprint which are focused on educating our community members. You can answer these by reading on some posts on ⁠🔒〡stay-safe and ⁠🔍〡knowledge-forum as a start. 

Do not guess the answers as there is a long cooldown per question you answer wrongly, and take note: this is just the start, there will be more additional and role-exclusives  to come. :cheers: :emoji~2:",1,roadmap,
CoreDao,Discord,":core:Happy Friday :core: 

We are having a special Core Ecosystem text AMA with Ignore FUD today at 2pm UTC in the ⁠🎙〡ama-text channel & on Telegram

Please post your question for Ignore FUD in ⁠❓〡ama-questions before the AMA.

Looking forward to the AMA 🚀 

@everyone",0,marketing,
CoreDao,Discord,":core: GM @everyone :core: 

a few of you have already noticed... 😉 

We do it ""Elon alike"" and are cleaning our Discord server of Bots & inactive accounts. 
This is a necessary process to keep the community safer and more fun.

This purge is being done manually - so your will notice a slow downwards trend in the server Members in the next few week.",0,not related thing,
CoreDao,Discord,":core: Hey Core Community :core:

there will be another Core DAO Ecosystem AMA happening today at 2pm UTC.

The guests will be AutoCore and UnityCore.
It will be an audio AMA hosted on Discord and as Twitter spaces on the Core DAO Ecosystem account.

We ask to please excuse the fact that the poll for these two guests was not posted on Discord but only on Twitter. 

The next poll to vote for the AMA guest will can be found later today in ⁠No Access 

Please, post your questions directed to AutoCore and/or UnityCore in the ⁠❓〡ama-questions channel.
We are looking forward to the AMA later.

@everyone",0,marketing,
CoreDao,Discord,":core:  Happy Monday @everyone :core: 

there is a twitter space happening right now about the S-Prize.

It will explain the details and give the builders the chance to ask questions.

If you want to learn more about what is going on in our ecosystem and the way we support builders on Core head over there and tune in 🚀 

https://twitter.com/i/spaces/1OdKrzRjboYKX?s=20",0,marketing,
CoreDao,Discord,"@everyone quick update:

The Telegram AMA will be hosted in this channel: https://t.me/+Qc444aEduLVhNTg1

for Discord no changes --> the AMA will happen in ⁠🎙〡ama-text",0,marketing,
CoreDao,Discord,"Hey @everyone,

we will have the text Core Ecosystem AMA with Core ID today at 2pm UTC

This will take place on Discord in the ⁠🎙〡ama-text  channel at 2pm UTC today, as well as on Telegram in our official Core Dao tg channel: https://t.me/CoreDAOTelegram

please post your questions for Core ID in the ⁠❓〡ama-questions  channel before 1pm UTC.

We are looking forward to having Core ID on stage, presenting the project to all of you and answering some questions! :core:",0,marketing,
StarkNet,Twitter,"Welcome  @rhinofi  🥳🥳
https://twitter.com/rhinofi/status/1704484835077582949",0,not related thing,
StarkNet,Twitter,"Backed by fine-tuned optimizations and rigorous testing, Juno by @NethermindStark  is prepared to lead the way on Starknet's path to decentralization.
Find out the design decisions behind Juno's performance and stability and discuss how those features benefit Starknet users with @joshklop
https://www.youtube.com/watch?v=kh7f_Mvgpak&t=1s",1,technical update,
StarkNet,Twitter,"gm, so pumped we have now the perks of the perks",0,marketing,
StarkNet,Twitter,"Couldn't make it to #StarknetSummit23? You're in luck!  All talks can be conveniently found 👇
https://www.youtube.com/watch?v=cxMuXDQTsSc&list=PLcIyXLwiPilX2ncKfmXRSUPQ21AN-JaRo",0,not related thing,
StarkNet,Twitter,"Find a job with the teams building on Starknet with the ultimate job board for the Starknet ecosystem! 
Check it out👇 
https://bit.ly/44YGJmY",1,"team update, the company growth",
StarkNet,Twitter,"Community Call #49: The Art of Clarity - Simplifying Complex Information Beyond Bullets
https://twitter.com/i/broadcasts/1zqKVqQDjXwxB",0,not related thing,
StarkNet,Twitter,"📢 TODAY on our Community Call!
Dive into the art of clear writing with Steve Goodman @CityONewOrleans, Principal Technical Writer @StarkWareLtd.

Unlock techniques for crafting concise docs that devs love to use. ✍️🔍
Join the session: https://bit.ly/3t0azdL
",0,not related thing,
StarkNet,Twitter,"📣Devs, if you are using Starknet’s feeder gateway, here is an important update for you:

The Starknet feeder gateway will go through changes in Q4 2023 and will stop serving multiple types of queries. It will retain only synchronization-related endpoints for Full Nodes.

The Starknet feeder gateway serves as a gateway for querying the centralized sequencer on the state of Starknet. It was meant to be a temporary solution until Full Nodes supporting Starknet’s JSON-RPC mature and can meet the ecosystem's needs.

We are working with the different API providers to ensure they're preparing for the deprecation regarding reliability and expected increased traffic.

We will proceed with the deprecation only if we feel the ecosystem is ready.

Moving towards Full Nodes and API services signifies transitioning from a centralized solution to a decentralized, resilient, and efficient system that aligns with blockchain technology principles.

Starknet devs are recommended to shift to API services or Full Nodes like Pathfinder, Juno, and Papyrus.

For a full list of Full Nodes and API services 👇

https://starknet.io/en/ecosystem/fullnodes-and-api-services

Read more and join the discussion.

https://community.starknet.io/t/feeder-gateway-deprecation/100233

@AlchemyPlatform, @BwareLabs, @ChainbaseHQ, @ChainstackHQ, @NethermindEth, @lavanetxyz, @infura_io, @equilibrium_co, @StarknetFndn",1,"roadmap, technical update",
StarkNet,Twitter,"Learn about the future of Ethereum Scaling with 

@EliBenSasson from StarkWare, 
@EdFelten from @OffchainLabs, and 
@dlubarov from @0xPolygonZero
 as they discuss what's next at #StarknetSummit23

https://www.youtube.com/watch?v=cxMuXDQTsSc",0,not related thing,
StarkNet,Twitter,"A survey of the past, present, and future of fully onchain games. 

Find out about the challenges and solutions we're building as part of the 
@cartridge_gg platform and @dojostarknet  toolchain from @tarrenceva. 👀
https://www.youtube.com/watch?v=r5ZtySfvMzM&t=3s",0,not related thing,
StarkNet,Twitter,"Learn all about Starknet with The Starknet Book!  
Crafted collectively by the Starknet fam, every chapter is a stride toward mastering the Starknet universe 👇
https://book.starknet.io/",0,marketing,
StarkNet,Twitter,"Want to help improve Starknet docs? 📝 
Join Steve @CityONewOrleans , StarkWare’s Principal Technical Writer, in tomorrow’s 49th Community Call. Discover how to contribute and write effectively for readers! 🚀 
See you there: https://bit.ly/3t0azdL
",0,marketing,
StarkNet,Twitter,"Want to help us?
There are accounts on Discord, Twitter, Telegram, and your DMs claim that Starknet offers token launches and airdrops. 
Any account claiming so is FAKE. If you see something, block and report the account immediately🙏",0,marketing,
StarkNet,Twitter,"The future of onchain gaming and autonomous worlds is @dojostarknet! 

Watch as we go from 0 to 100+ games budling on this revolutionary game engine!",0,not related thing,
StarkNet,Twitter,"Learn how the Rust programming language unlocked performance and developer experience improvements for Cairo and Starknet users and developers with  @gakonst from  @paradigm
https://www.youtube.com/watch?v=5byzskxVAGg",0,marketing,
StarkNet,Twitter,"gm, especially to @ErikVoorhees",0,not related thing,
StarkNet,Twitter,"Starknet and MetaMask Snap together! 💥 

Read more 👇
https://twitter.com/MetaMask/status/1701585470512095636",1,partnership,
StarkNet,Twitter,"Join Marijke, who just joined Starkware, on her journey to exploring the Starknet community & sharing insights through short videos as she learns. 
Her first vid explains how Starknet helps solve the blockchain trilemma! 
She explains how L2 Rollups on Ethereum achieve scalability without sacrificing security or decentralization.
https://book.starknet.io/",0,marketing,
StarkNet,Twitter,"Devs this one for you! Get Starknet developer updates straight to your inbox by clicking  Subscribe to Updates button on this page 👇
https://www.starknet.io/en/roadmap",0,marketing,
StarkNet,Twitter,"Traverse the maze of questions and flows in the decentralized Starknet protocol presented by  @VolokhIlia
 https://www.starknet.io/en/posts/community-and-events/starknet-decentralized-protocol-discussion",0,marketing,
